BSU	GeneID	Abundance
BSU00010	dnaA	2026
BSU00020	dnaN	1470
BSU00030	yaaA	671
BSU00040	recF	13598
BSU00050	yaaB	871
BSU00060	gyrB	20896
BSU00070	gyrA	32258
BSU00080	yaaC	164
BSU00090	guaB	4385
BSU00100	dacA	4995
BSU00110	yaaD	3695
BSU00120	yaaE	2374
BSU00130	serS	439
BSU00140	dck	392
BSU00150	dgk	705
BSU00160	yaaH	4875
BSU00170	yaaI	3170
BSU00180	tadA	493
BSU00190	dnaX	2484
BSU00200	yaaK	812
BSU00210	recR	571
BSU00220	yaaL	134
BSU00230	bofA	40
BSU00240	csfB	76
BSU00250	xpaC	647
BSU00260	yaaN	1721
BSU00270	yaaO	3029
BSU00280	tmk	2035
BSU00290	yaaQ	1728
BSU00300	yaaR	2167
BSU00310	holB	6803
BSU00320	yaaT	6676
BSU00330	yabA	2974
BSU00340	yabB	928
BSU00350	yazA	276
BSU00360	yabC	1155
BSU00370	abrB	7356
BSU00380	metS	1428
BSU00390	yabD	120
BSU00400	yabE	3349
BSU00410	rnmV	309
BSU00420	ksgA	405
BSU00430	yabG	5
BSU00440	veg	14731
BSU00450	sspF	109
BSU00460	ipk	2126
BSU00470	purR	2238
BSU00480	yabJ	1593
BSU00490	spoVG	14543
BSU00500	glmU	1364
BSU00510	prs	1623
BSU00520	ctc	230128
BSU00530	pth	7149
BSU00540	yabK	1766
BSU00550	mfd	21278
BSU00560	spoVT	4404
BSU00570	yabM	163
BSU00580	yabN	1077
BSU00590	yabO	310
BSU00600	yabP	212
BSU00610	yabQ	1284
BSU00620	divIC	7036
BSU00630	yabR	15628
BSU00640	spoIIE	680
BSU00650	yabS	402
BSU00660	yabT	1110
BSU00670	tilS	6875
BSU00680	hprT	1957
BSU00690	ftsH	44271
BSU00700	coaX	389
BSU00710	hslO	714
BSU00720	yacD	438
BSU00730	cysK	11713
BSU00740	pabB	842
BSU00750	pabA	792
BSU00760	pabC	779
BSU00770	sul	1812
BSU00780	folB	703
BSU00790	folK	901
BSU00800	yazB	494
BSU00810	dusB	5118
BSU00820	lysS	7184
BSU00830	ctsR	3396
BSU00840	mcsA	2238
BSU00850	mcsB	7186
BSU00860	clpC	39396
BSU00870	radA	14631
BSU00880	yacK	6740
BSU00890	yacL	7215
BSU00900	ispD	7615
BSU00910	ispF	194
BSU00920	gltX	7840
BSU00930	cysE	458
BSU00940	cysS	1478
BSU00950	mrnC	293
BSU00960	rlmB	1018
BSU00970	yacP	477
BSU00980	sigH	7932
BSU00990	rpmG	1710
BSU01000	secE	617
BSU01010	nusG	1693
BSU01020	rplK	19077
BSU01030	rplA	13433
BSU01040	rplJ	6188
BSU01050	rplL	5930
BSU01060	ybxB	1457
BSU01070	rpoB	99857
BSU01080	rpoC	131836
BSU01090	ybxF	4022
BSU01100	rpsL	15648
BSU01110	rpsG	11940
BSU01120	fusA	98072
BSU01130	tufA	100323
