BSU	GeneID	Abundance
BSU00010	dnaA	299
BSU00020	dnaN	161
BSU00030	yaaA	87
BSU00040	recF	1824
BSU00050	yaaB	249
BSU00060	gyrB	5178
BSU00070	gyrA	4174
BSU00080	yaaC	11
BSU00090	guaB	2365
BSU00100	dacA	202
BSU00110	yaaD	1195
BSU00120	yaaE	1206
BSU00130	serS	825
BSU00140	dck	54
BSU00150	dgk	26
BSU00160	yaaH	68
BSU00170	yaaI	52
BSU00180	tadA	21
BSU00190	dnaX	250
BSU00200	yaaK	124
BSU00210	recR	137
BSU00220	yaaL	34
BSU00230	bofA	3
BSU00240	csfB	1
BSU00250	xpaC	13
BSU00260	yaaN	50
BSU00270	yaaO	241
BSU00280	tmk	65
BSU00290	yaaQ	106
BSU00300	yaaR	145
BSU00310	holB	340
BSU00320	yaaT	848
BSU00330	yabA	297
BSU00340	yabB	48
BSU00350	yazA	10
BSU00360	yabC	82
BSU00370	abrB	580
BSU00380	metS	728
BSU00390	yabD	100
BSU00400	yabE	757
BSU00410	rnmV	70
BSU00420	ksgA	176
BSU00430	yabG	1
BSU00440	veg	16685
BSU00450	sspF	45
BSU00460	ipk	400
BSU00470	purR	1846
BSU00480	yabJ	1543
BSU00490	spoVG	3231
BSU00500	glmU	925
BSU00510	prs	1375
BSU00520	ctc	43672
BSU00530	pth	447
BSU00540	yabK	26
BSU00550	mfd	1218
BSU00560	spoVT	224
BSU00570	yabM	86
BSU00580	yabN	276
BSU00590	yabO	159
BSU00600	yabP	65
BSU00610	yabQ	73
BSU00620	divIC	296
BSU00630	yabR	1548
BSU00640	spoIIE	73
BSU00650	yabS	45
BSU00660	yabT	32
BSU00670	tilS	393
BSU00680	hprT	158
BSU00690	ftsH	9443
BSU00700	coaX	66
BSU00710	hslO	256
BSU00720	yacD	39
BSU00730	cysK	1324
BSU00740	pabB	109
BSU00750	pabA	206
BSU00760	pabC	99
BSU00770	sul	303
BSU00780	folB	75
BSU00790	folK	128
BSU00800	yazB	153
BSU00810	dusB	1442
BSU00820	lysS	3499
BSU00830	ctsR	429
BSU00840	mcsA	268
BSU00850	mcsB	556
BSU00860	clpC	4571
BSU00870	radA	280
BSU00880	yacK	151
BSU00890	yacL	499
BSU00900	ispD	512
BSU00910	ispF	13
BSU00920	gltX	1865
BSU00930	cysE	175
BSU00940	cysS	559
BSU00950	mrnC	64
BSU00960	rlmB	301
BSU00970	yacP	121
BSU00980	sigH	626
BSU00990	rpmG	176
BSU01000	secE	37
BSU01010	nusG	163
BSU01020	rplK	2413
BSU01030	rplA	1609
BSU01040	rplJ	1504
BSU01050	rplL	2388
BSU01060	ybxB	31
BSU01070	rpoB	20442
BSU01080	rpoC	38874
BSU01090	ybxF	1368
BSU01100	rpsL	6054
BSU01110	rpsG	5695
BSU01120	fusA	32641
BSU01130	tufA	49989
BSU01140	ybaC	19
BSU01150	rpsJ	1173
BSU01160	rplC	6073
BSU01170	rplD	2903
BSU01180	rplW	2707
BSU01190	rplB	11317
BSU01200	rpsS	2305
BSU01210	rplV	2204
BSU01220	rpsC	4530
BSU01230	rplP	2157
BSU01240	rpmC	928
BSU01250	rpsQ	2200
BSU01260	rplN	1739
BSU01270	rplX	1246
BSU01280	rplE	2398
BSU01290	rpsN	818
BSU01300	rpsH	2103
BSU01310	rplF	3579
BSU01320	rplR	1731
BSU01330	rpsE	3589
BSU01340	rpmD	961
BSU01350	rplO	4645
BSU01360	secY	7169
BSU01370	adk	4858
BSU01380	mapA	68
BSU01389	ybzG	891
BSU01390	infA	2099
BSU01400	rpmJ	426
BSU01410	rpsM	3077
BSU01420	rpsK	3823
BSU01430	rpoA	126
BSU01440	rplQ	4712
BSU01450	cbiO	109
BSU01460	cbiO	216
BSU01470	ybaF	176
BSU01480	truA	363
BSU01490	rplM	3917
BSU01500	rpsI	4622
BSU01510	ybaJ	28
BSU01520	ybaK	0
BSU01530	cwlD	5
BSU01540	salA	864
BSU01550	gerD	0
BSU01560	kbaA	11
BSU01570	ybaN	0
BSU01580	ybaR	252
BSU01590	ybaS	336
BSU01600	ybbA	23
BSU01610	feuC	25
BSU01620	feuB	34
BSU01630	feuA	77
BSU01640	ybbB	38
BSU01650	ybbC	129
BSU01660	ybbD	227
BSU01670	ybbE	82
BSU01680	ybbF	53
BSU01690	ybbH	27
BSU01700	murQ	28
BSU01710	ybbJ	8
BSU01720	ybbK	19
BSU01730	sigW	280
BSU01740	rsiW	926
BSU01750	ybbP	295
BSU01760	ybbR	571
BSU01770	glmM	339
BSU01780	glmS	3995
BSU01800	alkA	15
BSU01810	adaA	1
BSU01820	adaB	22
BSU01830	ndhF	18
BSU01845	ybcC	56
BSU01860	ybcF	7
BSU01870	ybcH	1
BSU01880	ybcI	4
BSU01889	ybzH	32
BSU01890	ybcL	70
BSU01900	ybcM	0
BSU01910	skfA	113
BSU01920	skfB	23
BSU01935	skfC	12
BSU01950	skfE	34
BSU01960	skfF	18
BSU01970	skfG	10
BSU01980	skfH	10
BSU01990	ybdG	7
BSU02000	ybdJ	9
BSU02010	ybdK	126
BSU02019	ybzI	185
BSU02030	ybdM	7
BSU02040	ybdN	26
BSU02050	ybdO	95
BSU02060	ybxG	688
BSU02070	csgA	0
BSU02080	ybxH	2
BSU02090	ybxI	39
BSU02100	cypC	443
BSU02110	ybyB	4725
BSU02120	ybeC	2164
BSU02130	glpQ	23
BSU02140	glpT	4
BSU02150	ybeF	1
BSU02160	ybfA	322
BSU02170	ybfB	3117
BSU02180	ybfE	2
BSU02190	ybfF	1
BSU02200	ybfG	24
BSU02210	ybfH	29
BSU02220	ybfI	5
BSU02230	purT	138
BSU02240	mpr	669
BSU02250	ybfJ	400
BSU02260	ybfK	84
BSU02270	pssA	150
BSU02280	ybfM	210
BSU02290	psd	544
BSU02300	ybfN	16
BSU02310	ybfO	42
BSU02320	ybfP	22
BSU02330	ybfQ	810
BSU02340	gltP	46
BSU02350	nagP	159
BSU02360	nagBB	75
BSU02370	ybgA	23
BSU02380	ybgB	27
BSU02390	ybgE	1005
BSU02400	ybgF	470
BSU02410	mmuM	81
BSU02420	glnT	4
BSU02430	ybgJ	3
BSU02440	glnJ	57
BSU02450	glnL	103
BSU02460	ycbC	22
BSU02470	ycbD	68
BSU02480	gudP	22
BSU02490	gudD	22
BSU02500	ycbG	242
BSU02510	garD	52
BSU02520	ycbJ	841
BSU02530	rtpA	3
BSU02540	ycbK	46
BSU02550	ycbL	8
BSU02560	ycbM	10
BSU02570	ycbN	29
BSU02580	ycbO	49
BSU02590	ycbP	944
BSU02600	cwlJ	8
BSU02610	ycbR	28
BSU02619	yczK	0
BSU02620	phoD	12
BSU02630	tatAD	5
BSU02640	tatCD	1
BSU02650	pcp	106
BSU02660	ycbU	266
