BSU	GeneID	Abundance
BSU00010	dnaA	1558
BSU00020	dnaN	1763
BSU00030	yaaA	193
BSU00040	recF	5251
BSU00050	yaaB	214
BSU00060	gyrB	10998
BSU00070	gyrA	14064
BSU00080	yaaC	1
BSU00090	guaB	11279
BSU00100	dacA	1985
BSU00110	yaaD	5577
BSU00120	yaaE	5082
BSU00130	serS	6578
BSU00140	dck	736
BSU00150	dgk	522
BSU00160	yaaH	72
BSU00170	yaaI	58
BSU00180	tadA	71
BSU00190	dnaX	938
BSU00200	yaaK	356
BSU00210	recR	505
BSU00220	yaaL	179
BSU00230	bofA	30
BSU00240	csfB	4
BSU00250	xpaC	177
BSU00260	yaaN	396
BSU00270	yaaO	460
BSU00280	tmk	314
BSU00290	yaaQ	378
BSU00300	yaaR	478
BSU00310	holB	1479
BSU00320	yaaT	1578
BSU00330	yabA	711
BSU00340	yabB	209
BSU00350	yazA	89
BSU00360	yabC	480
BSU00370	abrB	4314
BSU00380	metS	6548
BSU00390	yabD	825
BSU00400	yabE	554
BSU00410	rnmV	138
BSU00420	ksgA	434
BSU00430	yabG	5
BSU00440	veg	3539
BSU00450	sspF	158
BSU00460	ipk	1561
BSU00470	purR	3235
BSU00480	yabJ	2676
BSU00490	spoVG	9133
BSU00500	glmU	1592
BSU00510	prs	3524
BSU00520	ctc	24400
BSU00530	pth	918
BSU00540	yabK	166
BSU00550	mfd	6153
BSU00560	spoVT	1357
BSU00570	yabM	247
BSU00580	yabN	1667
BSU00590	yabO	987
BSU00600	yabP	481
BSU00610	yabQ	543
BSU00620	divIC	1154
BSU00630	yabR	1958
BSU00640	spoIIE	66
BSU00650	yabS	45
BSU00660	yabT	17
BSU00670	tilS	1225
BSU00680	hprT	1123
BSU00690	ftsH	37197
BSU00700	coaX	410
BSU00710	hslO	1502
BSU00720	yacD	236
BSU00730	cysK	6907
BSU00740	pabB	674
BSU00750	pabA	549
BSU00760	pabC	304
BSU00770	sul	836
BSU00780	folB	440
BSU00790	folK	457
BSU00800	yazB	287
BSU00810	dusB	4015
BSU00820	lysS	14217
BSU00830	ctsR	656
BSU00840	mcsA	508
BSU00850	mcsB	1885
BSU00860	clpC	15052
BSU00870	radA	1805
BSU00880	yacK	1147
BSU00890	yacL	1155
BSU00900	ispD	1532
BSU00910	ispF	188
BSU00920	gltX	11039
BSU00930	cysE	521
BSU00940	cysS	3733
BSU00950	mrnC	433
BSU00960	rlmB	1369
BSU00970	yacP	757
BSU00980	sigH	2276
BSU00990	rpmG	495
BSU01000	secE	208
BSU01010	nusG	499
BSU01020	rplK	27219
BSU01030	rplA	19591
BSU01040	rplJ	32285
BSU01050	rplL	26821
BSU01060	ybxB	549
BSU01070	rpoB	47944
BSU01080	rpoC	78974
BSU01090	ybxF	2103
BSU01100	rpsL	29185
BSU01110	rpsG	30085
BSU01120	fusA	274632
BSU01130	tufA	276566
BSU01140	ybaC	124
BSU01150	rpsJ	12811
BSU01160	rplC	32052
BSU01170	rplD	28558
BSU01180	rplW	13691
BSU01190	rplB	72457
BSU01200	rpsS	11594
BSU01210	rplV	15024
BSU01220	rpsC	25833
BSU01230	rplP	15039
BSU01240	rpmC	3282
BSU01250	rpsQ	10657
BSU01260	rplN	23154
BSU01270	rplX	14486
BSU01280	rplE	23435
BSU01290	rpsN	4933
BSU01300	rpsH	21998
BSU01310	rplF	34547
BSU01320	rplR	17463
BSU01330	rpsE	39392
BSU01340	rpmD	9030
BSU01350	rplO	31301
BSU01360	secY	69170
BSU01370	adk	59520
BSU01380	mapA	542
BSU01389	ybzG	13969
BSU01390	infA	27200
BSU01400	rpmJ	2674
BSU01410	rpsM	26999
BSU01420	rpsK	49828
BSU01430	rpoA	1179
BSU01440	rplQ	35822
BSU01450	cbiO	575
BSU01460	cbiO	917
BSU01470	ybaF	656
BSU01480	truA	2298
BSU01490	rplM	9018
BSU01500	rpsI	13302
BSU01510	ybaJ	176
BSU01520	ybaK	4
BSU01530	cwlD	7
BSU01540	salA	6024
BSU01550	gerD	0
BSU01560	kbaA	51
BSU01570	ybaN	1
BSU01580	ybaR	581
BSU01590	ybaS	393
BSU01600	ybbA	311
BSU01610	feuC	547
BSU01620	feuB	392
BSU01630	feuA	1192
BSU01640	ybbB	518
BSU01650	ybbC	104
BSU01660	ybbD	155
BSU01670	ybbE	146
BSU01680	ybbF	198
BSU01690	ybbH	199
BSU01700	murQ	278
BSU01710	ybbJ	44
BSU01720	ybbK	142
BSU01730	sigW	4826
BSU01740	rsiW	8744
BSU01750	ybbP	1053
BSU01760	ybbR	2484
BSU01770	glmM	4285
BSU01780	glmS	3045
BSU01800	alkA	174
BSU01810	adaA	6
BSU01820	adaB	28
BSU01830	ndhF	115
BSU01845	ybcC	110
BSU01860	ybcF	13
BSU01870	ybcH	4
BSU01880	ybcI	9
BSU01889	ybzH	61
BSU01890	ybcL	174
BSU01900	ybcM	3
BSU01910	skfA	131
BSU01920	skfB	55
BSU01935	skfC	60
BSU01950	skfE	95
BSU01960	skfF	38
BSU01970	skfG	43
BSU01980	skfH	25
BSU01990	ybdG	32
BSU02000	ybdJ	65
