BSU	GeneID	Abundance
BSU00010	dnaA	734
BSU00020	dnaN	452
BSU00030	yaaA	193
BSU00040	recF	3307
BSU00050	yaaB	406
BSU00060	gyrB	7792
BSU00070	gyrA	9970
BSU00080	yaaC	35
BSU00090	guaB	2948
BSU00100	dacA	749
BSU00110	yaaD	1899
BSU00120	yaaE	1017
BSU00130	serS	335
BSU00140	dck	200
BSU00150	dgk	256
BSU00160	yaaH	644
BSU00170	yaaI	756
BSU00180	tadA	92
BSU00190	dnaX	831
BSU00200	yaaK	251
BSU00210	recR	181
BSU00220	yaaL	32
BSU00230	bofA	3
BSU00240	csfB	4
BSU00250	xpaC	238
BSU00260	yaaN	562
BSU00270	yaaO	837
BSU00280	tmk	447
BSU00290	yaaQ	530
BSU00300	yaaR	504
BSU00310	holB	1698
BSU00320	yaaT	2659
BSU00330	yabA	708
BSU00340	yabB	205
BSU00350	yazA	43
BSU00360	yabC	329
BSU00370	abrB	1441
BSU00380	metS	728
BSU00390	yabD	39
BSU00400	yabE	2232
BSU00410	rnmV	127
BSU00420	ksgA	202
BSU00430	yabG	0
BSU00440	veg	6758
BSU00450	sspF	84
BSU00460	ipk	694
BSU00470	purR	1039
BSU00480	yabJ	794
BSU00490	spoVG	11974
BSU00500	glmU	570
BSU00510	prs	684
BSU00520	ctc	41468
BSU00530	pth	1295
BSU00540	yabK	262
BSU00550	mfd	2596
BSU00560	spoVT	525
BSU00570	yabM	61
BSU00580	yabN	579
BSU00590	yabO	205
BSU00600	yabP	127
BSU00610	yabQ	667
BSU00620	divIC	2577
BSU00630	yabR	6407
BSU00640	spoIIE	285
BSU00650	yabS	124
BSU00660	yabT	218
BSU00670	tilS	1713
BSU00680	hprT	391
BSU00690	ftsH	12996
BSU00700	coaX	155
BSU00710	hslO	316
BSU00720	yacD	194
BSU00730	cysK	1528
BSU00740	pabB	360
BSU00750	pabA	457
BSU00760	pabC	258
BSU00770	sul	408
BSU00780	folB	132
BSU00790	folK	176
BSU00800	yazB	177
BSU00810	dusB	1581
BSU00820	lysS	1903
BSU00830	ctsR	1346
BSU00840	mcsA	543
BSU00850	mcsB	1251
BSU00860	clpC	9374
BSU00870	radA	3828
BSU00880	yacK	1358
BSU00890	yacL	1962
BSU00900	ispD	1571
BSU00910	ispF	49
BSU00920	gltX	2180
BSU00930	cysE	120
BSU00940	cysS	412
BSU00950	mrnC	30
BSU00960	rlmB	253
BSU00970	yacP	66
BSU00980	sigH	3774
BSU00990	rpmG	1079
BSU01000	secE	281
BSU01010	nusG	808
BSU01020	rplK	11285
BSU01030	rplA	9881
BSU01040	rplJ	6819
BSU01050	rplL	6187
BSU01060	ybxB	563
BSU01070	rpoB	44113
BSU01080	rpoC	63018
BSU01090	ybxF	2342
BSU01100	rpsL	8149
BSU01110	rpsG	6723
BSU01120	fusA	46999
BSU01130	tufA	63371
BSU01140	ybaC	70
BSU01150	rpsJ	1794
BSU01160	rplC	4450
BSU01170	rplD	2276
BSU01180	rplW	1931
BSU01190	rplB	8675
BSU01200	rpsS	1636
BSU01210	rplV	2428
BSU01220	rpsC	5462
BSU01230	rplP	1848
BSU01240	rpmC	1069
BSU01250	rpsQ	2087
BSU01260	rplN	2644
BSU01270	rplX	1622
BSU01280	rplE	3177
BSU01290	rpsN	960
BSU01300	rpsH	2725
BSU01310	rplF	5266
BSU01320	rplR	2831
BSU01330	rpsE	5258
BSU01340	rpmD	1581
BSU01350	rplO	4791
BSU01360	secY	12377
BSU01370	adk	6027
BSU01380	mapA	57
BSU01389	ybzG	1191
BSU01390	infA	2536
BSU01400	rpmJ	205
BSU01410	rpsM	4217
BSU01420	rpsK	5947
BSU01430	rpoA	384
BSU01440	rplQ	7070
BSU01450	cbiO	207
BSU01460	cbiO	381
BSU01470	ybaF	278
BSU01480	truA	484
BSU01490	rplM	5294
BSU01500	rpsI	4983
BSU01510	ybaJ	400
BSU01520	ybaK	2
BSU01530	cwlD	20
BSU01540	salA	4060
BSU01550	gerD	4
BSU01560	kbaA	174
BSU01570	ybaN	0
BSU01580	ybaR	280
BSU01590	ybaS	533
BSU01600	ybbA	484
BSU01610	feuC	482
BSU01620	feuB	1390
BSU01630	feuA	2725
BSU01640	ybbB	341
BSU01650	ybbC	6979
BSU01660	ybbD	10229
BSU01670	ybbE	5130
BSU01680	ybbF	4231
BSU01690	ybbH	2303
BSU01700	murQ	3979
BSU01710	ybbJ	149
BSU01720	ybbK	276
BSU01730	sigW	852
BSU01740	rsiW	1672
BSU01750	ybbP	998
BSU01760	ybbR	1337
BSU01770	glmM	732
BSU01780	glmS	54106
BSU01800	alkA	89
BSU01810	adaA	18
BSU01820	adaB	43
BSU01830	ndhF	99
BSU01845	ybcC	257
BSU01860	ybcF	15
BSU01870	ybcH	4
BSU01880	ybcI	17
BSU01889	ybzH	201
BSU01890	ybcL	196
BSU01900	ybcM	2
BSU01910	skfA	559
BSU01920	skfB	95
BSU01935	skfC	61
BSU01950	skfE	100
BSU01960	skfF	41
BSU01970	skfG	27
BSU01980	skfH	42
BSU01990	ybdG	19
BSU02000	ybdJ	8
BSU02010	ybdK	53
BSU02019	ybzI	416
BSU02030	ybdM	96
BSU02040	ybdN	695
BSU02050	ybdO	699
BSU02060	ybxG	1581
BSU02070	csgA	1
BSU02080	ybxH	10
BSU02090	ybxI	94
BSU02100	cypC	2002
BSU02110	ybyB	16175
BSU02120	ybeC	3898
BSU02130	glpQ	89
BSU02140	glpT	74
BSU02150	ybeF	1
BSU02160	ybfA	26
BSU02170	ybfB	605
BSU02180	ybfE	27
BSU02190	ybfF	51
BSU02200	ybfG	207
BSU02210	ybfH	75
BSU02220	ybfI	86
BSU02230	purT	181
BSU02240	mpr	7887
BSU02250	ybfJ	2857
BSU02260	ybfK	430
BSU02270	pssA	458
BSU02280	ybfM	382
BSU02290	psd	687
BSU02300	ybfN	48
BSU02310	ybfO	196
BSU02320	ybfP	11
BSU02330	ybfQ	1438
BSU02340	gltP	518
BSU02350	nagP	131
BSU02360	nagBB	57
BSU02370	ybgA	33
BSU02380	ybgB	1098
BSU02390	ybgE	2527
BSU02400	ybgF	113
BSU02410	mmuM	125
BSU02420	glnT	16
BSU02430	ybgJ	10
BSU02440	glnJ	163
BSU02450	glnL	255
BSU02460	ycbC	73
BSU02470	ycbD	226
BSU02480	gudP	117
BSU02490	gudD	283
BSU02500	ycbG	296
BSU02510	garD	583
BSU02520	ycbJ	2285
BSU02530	rtpA	2
BSU02540	ycbK	20
BSU02550	ycbL	29
BSU02560	ycbM	30
BSU02570	ycbN	36
BSU02580	ycbO	48
BSU02590	ycbP	1867
BSU02600	cwlJ	6
BSU02610	ycbR	49
BSU02619	yczK	0
BSU02620	phoD	22
BSU02630	tatAD	2
BSU02640	tatCD	2
BSU02650	pcp	350
BSU02660	ycbU	244
BSU02670	lmrB	940
BSU02680	lmrA	755
BSU02690	ansZ	51
BSU02700	estA	29
BSU02710	yczC	33
BSU02720	yccF	256
BSU02730	natK	77
BSU02740	natR	162
BSU02750	natA	38
BSU02760	natB	18
BSU02770	yccK	125
BSU02780	ycdA	334
BSU02790	ycdB	25
BSU02800	ycdC	91
BSU02810	cwlK	47
BSU02820	rapJ	1741
BSU02830	ycdF	679
BSU02840	ycdG	1371
BSU02850	adcA	1418
BSU02860	adcC	41
BSU02870	adcB	31
BSU02880	yceB	61
BSU02890	yceC	550
BSU02900	yceD	502
BSU02910	yceE	709
BSU02920	yceF	1340
BSU02930	yceG	318
BSU02940	yceH	540
BSU02950	yceI	139
BSU02960	yceJ	10
BSU02970	yceK	381
BSU02980	opuAA	723
BSU02990	opuAB	601
BSU03000	opuAC	889
BSU03010	amhX	9924
BSU03020	ycgA	950
BSU03030	ycgB	292
BSU03040	amyE	4382
BSU03050	ldh	723
BSU03060	lctP	151
BSU03070	mdr	149
BSU03080	ycgE	122
BSU03090	ycgF	91
BSU03100	ycgG	99
BSU03110	ycgH	10
BSU03120	ycgI	1
BSU03130	nadE	2242
BSU03140	tmrB	109
BSU03150	aroK	249
BSU03160	ycgJ	39
BSU03170	ycgK	129
BSU03180	cah	81
BSU03190	ycgL	16
BSU03200	ycgM	468
BSU03210	ycgN	1756
BSU03220	ycgO	1802
BSU03230	ycgP	1532
BSU03240	ycgQ	65
BSU03250	ycgR	82
BSU03260	ycgS	42
BSU03270	ycgT	685
BSU03280	nasF	1012
BSU03290	nasE	569
BSU03300	nasD	213
BSU03310	nasC	30
BSU03320	nasB	42
BSU03330	nasA	33
BSU03340	yciA	20
BSU03350	yciB	6
BSU03359	yczL	0
BSU03360	yciC	117
BSU03370	yckA	50
BSU03380	yckB	111
BSU03390	yckC	489
BSU03400	yckD	2
BSU03410	bglC	102
BSU03420	nin	77
BSU03430	nucA	59
BSU03440	tlpC	158
BSU03450	hxlB	164
BSU03460	hxlA	107
BSU03470	hxlR	73
BSU03480	srfAA	36809
BSU03490	srfAB	27986
BSU03500	comS	0
BSU03510	srfAC	16273
BSU03520	srfAD	3925
BSU03530	ycxA	354
BSU03540	ycxB	130
BSU03550	ycxC	39
BSU03560	ycxD	41
BSU03569	sfp	78
BSU03570	sfp	118
BSU03580	yczE	142
BSU03590	tcyC	286
BSU03600	tcyB	134
BSU03610	tcyA	225
BSU03620	yclA	354
BSU03630	yclB	5
BSU03640	ubiD	62
BSU03651	bsdD	2
BSU03652	yclD	30
BSU03660	yclE	209
BSU03670	dtpT	3068
BSU03680	yclG	81
BSU03690	yczF	3
BSU03700	gerKA	2
BSU03710	gerKC	7
BSU03720	gerKB	30
BSU03730	yclH	16
BSU03740	yclI	14
BSU03750	yclJ	80
BSU03760	yclK	210
BSU03770	rapC	2309
BSU03780	phrC	248
BSU03789	yczN	44
BSU03790	yclM	4246
BSU03800	yclN	1916
BSU03810	yclO	533
BSU03820	yclP	663
