BSU	GeneID	Abundance
BSU02460	ycbC	406
BSU02470	ycbD	2045
BSU02480	gudP	2012
BSU02490	gudD	2633
BSU02500	ycbG	1876
BSU02510	garD	2203
BSU02520	ycbJ	2695
BSU02530	rtpA	4
BSU02540	ycbK	24
BSU02550	ycbL	85
BSU02560	ycbM	67
BSU02570	ycbN	125
BSU02580	ycbO	152
BSU02590	ycbP	2976
BSU02600	cwlJ	16
BSU02610	ycbR	111
BSU02619	yczK	0
BSU02620	phoD	54
BSU02630	tatAD	2
BSU02640	tatCD	1
BSU02650	pcp	1013
BSU02660	ycbU	555
BSU02670	lmrB	2422
BSU02680	lmrA	1518
BSU02690	ansZ	699
BSU02700	estA	22
BSU02710	yczC	50
BSU02720	yccF	692
BSU02730	natK	228
BSU02740	natR	225
BSU02750	natA	85
BSU02760	natB	125
BSU02770	yccK	254
BSU02780	ycdA	346
BSU02790	ycdB	88
BSU02800	ycdC	219
BSU02810	cwlK	188
BSU02820	rapJ	2366
BSU02830	ycdF	1205
BSU02840	ycdG	2603
BSU02850	adcA	3548
BSU02860	adcC	226
BSU02870	adcB	191
BSU02880	yceB	1279
BSU02890	yceC	3055
BSU02900	yceD	4813
BSU02910	yceE	4675
BSU02920	yceF	8966
BSU02930	yceG	2217
BSU02940	yceH	4287
BSU02950	yceI	961
BSU02960	yceJ	306
BSU02970	yceK	812
BSU02980	opuAA	1517
BSU02990	opuAB	1132
BSU03000	opuAC	1970
BSU03010	amhX	18450
BSU03020	ycgA	2010
BSU03030	ycgB	864
BSU03040	amyE	14877
BSU03050	ldh	6625
BSU03060	lctP	32116
BSU03070	mdr	321
BSU03080	ycgE	277
BSU03090	ycgF	229
BSU03100	ycgG	220
BSU03110	ycgH	24
BSU03120	ycgI	9
BSU03130	nadE	5165
BSU03140	tmrB	192
BSU03150	aroK	703
BSU03160	ycgJ	192
BSU03170	ycgK	298
BSU03180	cah	169
BSU03190	ycgL	60
BSU03200	ycgM	5820
BSU03210	ycgN	22062
BSU03220	ycgO	23829
BSU03230	ycgP	5178
BSU03240	ycgQ	286
BSU03250	ycgR	353
BSU03260	ycgS	173
BSU03270	ycgT	3211
BSU03280	nasF	3419
BSU03290	nasE	612
BSU03300	nasD	2727
BSU03310	nasC	510
BSU03320	nasB	670
BSU03330	nasA	370
BSU03340	yciA	48
BSU03350	yciB	31
BSU03359	yczL	2
BSU03360	yciC	12227
BSU03370	yckA	195
BSU03380	yckB	306
BSU03390	yckC	739
BSU03400	yckD	9
BSU03410	bglC	358
BSU03420	nin	170
BSU03430	nucA	116
BSU03440	tlpC	274
BSU03450	hxlB	232
BSU03460	hxlA	107
BSU03470	hxlR	220
BSU03480	srfAA	182500
BSU03490	srfAB	107337
BSU03500	comS	0
