BSU	GeneID	Abundance
BSU02480	gudP	51
BSU02490	gudD	40
BSU02500	ycbG	463
BSU02510	garD	132
BSU02520	ycbJ	1448
BSU02530	rtpA	82
BSU02540	ycbK	306
BSU02550	ycbL	46
BSU02560	ycbM	63
BSU02570	ycbN	194
BSU02580	ycbO	280
BSU02590	ycbP	614
BSU02600	cwlJ	25
BSU02610	ycbR	94
BSU02619	yczK	2
BSU02620	phoD	51
BSU02630	tatAD	7
BSU02640	tatCD	8
BSU02650	pcp	232
BSU02660	ycbU	380
BSU02670	lmrB	651
BSU02680	lmrA	507
BSU02690	ansZ	204
BSU02700	estA	565
BSU02710	yczC	52
BSU02720	yccF	1042
BSU02730	natK	184
BSU02740	natR	89
BSU02750	natA	175
BSU02760	natB	367
BSU02770	yccK	419
BSU02780	ycdA	2624
BSU02790	ycdB	173
BSU02800	ycdC	223
BSU02810	cwlK	27
BSU02820	rapJ	1443
BSU02830	ycdF	1005
BSU02840	ycdG	2382
BSU02850	adcA	711
BSU02860	adcC	61
BSU02870	adcB	84
BSU02880	yceB	235
BSU02890	yceC	13789
BSU02900	yceD	21004
BSU02910	yceE	16840
BSU02920	yceF	23468
BSU02930	yceG	11780
BSU02940	yceH	10859
BSU02950	yceI	2724
BSU02960	yceJ	13
BSU02970	yceK	67
BSU02980	opuAA	1751
BSU02990	opuAB	1971
BSU03000	opuAC	5212
BSU03010	amhX	2309
BSU03020	ycgA	384
BSU03030	ycgB	92
BSU03040	amyE	1181
BSU03050	ldh	102929
BSU03060	lctP	62709
BSU03070	mdr	790
BSU03080	ycgE	109
BSU03090	ycgF	84
BSU03100	ycgG	226
BSU03110	ycgH	9
BSU03120	ycgI	3
BSU03130	nadE	6517
BSU03140	tmrB	120
BSU03150	aroK	184
BSU03160	ycgJ	50
BSU03170	ycgK	108
BSU03180	cah	657
BSU03190	ycgL	423
BSU03200	ycgM	1623
BSU03210	ycgN	10822
BSU03220	ycgO	7891
BSU03230	ycgP	524
BSU03240	ycgQ	432
BSU03250	ycgR	174
BSU03260	ycgS	95
BSU03270	ycgT	1343
BSU03280	nasF	2164
BSU03290	nasE	380
BSU03300	nasD	662
BSU03310	nasC	120
BSU03320	nasB	177
BSU03330	nasA	184
BSU03340	yciA	35
BSU03350	yciB	16
BSU03359	yczL	5
BSU03360	yciC	48
BSU03370	yckA	364
BSU03380	yckB	463
BSU03390	yckC	42
BSU03400	yckD	0
BSU03410	bglC	136
BSU03420	nin	2134
BSU03430	nucA	1252
BSU03440	tlpC	662
BSU03450	hxlB	651
BSU03460	hxlA	324
BSU03470	hxlR	381
BSU03480	srfAA	1099177
BSU03490	srfAB	1349374
BSU03500	comS	0
BSU03510	srfAC	564804
BSU03520	srfAD	100476
BSU03530	ycxA	1822
BSU03540	ycxB	41
BSU03550	ycxC	31
BSU03560	ycxD	171
BSU03569	sfp	33
BSU03570	sfp	91
BSU03580	yczE	76
BSU03590	tcyC	755
BSU03600	tcyB	368
BSU03610	tcyA	1132
BSU03620	yclA	60
BSU03630	yclB	14
BSU03640	ubiD	89
BSU03651	bsdD	4
BSU03652	yclD	37
BSU03660	yclE	292
BSU03670	dtpT	151
BSU03680	yclG	25
BSU03690	yczF	3
BSU03700	gerKA	62
BSU03710	gerKC	47
BSU03720	gerKB	54
BSU03730	yclH	15
BSU03740	yclI	13
